"RISK MANAGEMENT AND INSUR Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"Principles of Risk Management","300","001","173","3.246","33.5","12.7","32.9","10.4","8.1","1.2",".","1.2",".",".",".",".",".",".",".","."
"Contemporary Topics","365","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgt-Insurance Enterprise","640","001","44","3.330","25.0","27.3","36.4","11.4",".",".",".",".",".",".",".",".",".",".",".","."
"Commercial Insurance","645","001","64","3.516","34.4","34.4","31.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sustainbl, Envir&Soc Risk Mgmt","650","001","35","3.557","31.4","48.6","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Risk Financing Techniques","655","001","34","3.485","32.4","38.2","26.5",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Principles of Risk Mgmt","700","001","22","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","072","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","","Course Total","6","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
