"COLLABORATIVE NURSING PRG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","",""
"Transitions: Pract & Prof","306
001","","10","3.450","50.0","20.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Health Assessment","317
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","407
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","407
003","","12","3.542","83.3",".",".","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"Foundations Prof Nursing Pract","Course Total","","15","3.633","86.7",".",".","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"","441
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","441
003","","6","3.167",".","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Chronic Care Management","Course Total","","10","3.350","10.0","60.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","446
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","446
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","446
003","","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nrsg Research & EB Practice","Course Total","","15","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","447
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","447
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","447
003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership and Management","Course Total","","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","453
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","453
003","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Info Mgt & Hlthcare Tech","Course Total","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","454
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","454
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","454
003","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","Course Total","","15","3.867","86.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","490
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Nursing","Course Total","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Practicum for RNs","519
001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
