"REHAB PSYCH & SPECIAL EDUC Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"Diversity in Special Education","Course Total","","41","3.976","97.6",".","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Stdt Teaching Seminar","467
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Secondary Student Teaching Smr","468
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Class Mgmt for Inclusive Class","473
001","","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","475
003","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
004","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Practicum: Early Child-Elem","Course Total","","20","3.958","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","476
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","476
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","476
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"SE Practicum: Sec (Gr 4-12)","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Foundatn","500
001","","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Applcatn","501
001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","505
001","","39","3.872","94.9",".","2.6",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"","505
002","","39","3.949","94.9",".","5.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bio,Psych,&Voc Aspt-Disabil","Course Total","","78","3.910","94.9",".","3.8",".",".",".","1.3",".",".",".",".",".",".",".",".","."
"","506
001","","12","3.583","75.0",".","8.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"","506
002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","Course Total","","20","3.750","85.0",".","5.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","515
001","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","515
002","","37","3.946","91.9","5.4","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Access to General Curriculum","Course Total","","72","3.972","95.8","2.8","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Education Foundations","605
001","","39","3.654","74.4","15.4","2.6","2.6",".",".","5.1",".",".",".",".",".",".",".",".","."
"","630
020","","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","630
021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","","22","4.000","95.5",".",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"","660
086","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
104","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
105","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research or Thesis","690
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","699
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Multiculturl Issues-Special Ed","710
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Professional Counseling Orient","730
001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg - Foundations","732
001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Reh Cnslg-Cnslg Technique","810
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg-Cnslg Theory","820
001","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Rehab Cnslg-Diag & Treat","830
001","","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
