"PATHOLOGY AND LABORATORY Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"HIV: Sex, Society and Science
210","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study
399","154","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","100","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","103","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","111","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","113","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Aging
751","001","","19","3.421","21.1","47.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Responsible Conduct: Research
755","001","","24","4.000","95.8",".",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Histopath for Scientists
802","001","","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pathogensis-Major Hum Diseases
803","001","","20","3.825","70.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","001","","70","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"901","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Student Seminar / Journal Club","Course Total","","75","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clin Micro - Identification
914","021","","67","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Clin Micro - Methodology
915","012","","78","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"920","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Pathology Clerkship","Course Total","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Transfusion Med Customized
921","004","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Laboratory Medicine Customized
922","003","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Sickle cell disease
923","005","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"924","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"924","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
