"TERM : 1252","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2024-2025","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","OBSTETRICS AND GYNECOLOG Section","#","Ave","A","AB","","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"436","OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"436","OBS&GYN","Dept. Total
141","3.985","66.7","",".","0.7","",".","",".","",".","",".","32.6","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"436","OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Sophomore","2","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
