"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Program
1","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomedical Engineering Design
200","001","","123","3.902","81.3","17.9","0.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"BME Design and Leadership
300","001","","129","3.950","90.7","8.5","0.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bioinstrumentation
310","001","","59","3.585","39.0","45.8","10.2","3.4","1.7",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics
315","001","","100","3.630","48.0","36.0","12.0","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Eng Prin Mol, Cells, Tissues
330","001","","41","3.720","63.4","22.0","12.2",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"389","089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"389","120","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","123","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"399","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","092","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","099","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","118","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","127","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","133","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","139","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","150","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","156","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","157","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","158","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","159","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","160","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","161","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","65","4.000","98.5",".",".",".",".",".",".",".",".",".",".",".",".",".","1.5","."
"Capstone Design Course
400","001","","102","3.975","95.1","4.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Orthopaedic Biomechanics
414","001","","33","3.970","93.9","6.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Instrumentation
462","001","","16","3.563","43.8","31.3","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Honors in Research
489","119","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Tissue Engineering
510","001","","36","3.750","66.7","22.2","8.3",".","2.8",".",".",".",".",".",".",".",".",".",".","."
