"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","193","3.677","54.9","33.2","6.2","4.1","0.5",".","0.5",".",".",".",".",".",".",".","0.5","."
"","299
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
060","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","2","***","","","","","","","","","","","","","","","",""
"","313
001","79","3.829","67.1","31.6","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","83","3.747","60.2","36.1","2.4",".",".",".","1.2",".",".",".",".",".",".",".",".","."
"Foundations of Nrsg Practice","Course Total","162","3.787","63.6","34.0","1.9",".",".",".","0.6",".",".",".",".",".",".",".",".","."
"","315
001","79","3.722","45.6","53.2","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","82","3.701","45.1","51.2","2.4","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"Profnlism in a Nrsg Practice","Course Total","161","3.711","45.3","52.2","1.9","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"","316
001","79","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","316
002","82","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Found of Nrsg Pract: Exp Lrng","Course Total","161","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pharmacology for Nrsg Practice","317
001","166","3.155","10.2","38.0","30.1","16.9","3.0","1.2",".","0.6",".",".",".",".",".",".",".","."
"Pathophys for Nrsg Practice","318
001","161","3.538","28.6","54.0","12.4","4.3",".",".",".","0.6",".",".",".",".",".",".",".","."
"Hlth & Ill Indiv Fam","323
003","48","2.854","4.2","22.9","33.3","27.1","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"","324
001","103","3.665","40.8","51.5","7.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
002","99","3.631","40.4","46.5","12.1","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"Mtg Psychosocial Hlth Needs","Course Total","202","3.649","40.6","49.0","9.9","0.5",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Ill Indiv & Fam: Exp Lrng","326
003","48","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","432
011","102","3.515","23.5","58.8","14.7","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","432
012","102","3.627","32.4","60.8","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Population Health Nursing","Course Total","204","3.571","27.9","59.8","10.8","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"","436
001","64","",".",".",".",".",".",".",".",".",".","98.4","1.6",".",".",".",".","."
"","436
002","58","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","436
004","34","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Hlth & Ill Indiv Fam Cmty: EL","Course Total","156","",".",".",".",".",".",".",".",".",".","99.4","0.6",".",".",".",".","."
"","442
001","80","3.894","80.0","18.8","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
002","75","3.920","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Syst, Polc, & Econ","Course Total","155","3.906","81.9","17.4","0.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Cnpts in Cplx Nrsg Prc: EL","446
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","590
021","102","3.608","30.4","61.8","6.9","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"","590
022","102","3.520","20.6","62.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Practices-Nursing","Course Total","204","3.564","25.5","62.3","11.8","0.5",".",".",".",".",".",".",".",".",".",".",".","."
"","681
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
028","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
043","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
058","1","***","","","","","","","","","",".",".",".",".",".",".","."
