"PHARMACY PRACTICE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"","305","001","53","2.896","17.0","15.1","30.2","17.0","15.1","5.7",".",".",".",".",".",".",".",".",".","."
"","305","002","22","2.750","18.2","9.1","27.3","22.7","9.1","13.6",".",".",".",".",".",".",".",".",".","."
"Cnsmr","","Course Total","75","2.853","17.3","13.3","29.3","18.7","13.3","8.0",".",".",".",".",".",".",".",".",".","."
"Nonprescr. Meds & Self-Care","438","001","125","3.224","22.4","29.6","27.2","13.6","6.4","0.8",".",".",".",".",".",".",".",".",".","."
"Pathways in Pharmacy Practice","461","001","125","3.920","91.2","4.8","1.6","1.6","0.8",".",".",".",".",".",".",".",".",".",".","."
"Prof Develop & Engagement II","463","001","92","3.929","94.6","1.1","2.2",".","2.2",".",".",".",".",".",".",".",".",".",".","."
"Expl Pharm Peer Mentor Seminar","471","001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phm Prac Experiences II","526","001","93","3.952","92.5","5.4","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fluid & Electrolyte Therapy","550","001","59","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills I","553","001","93","3.989","98.9",".","1.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy I","555","001","94","3.149","16.0","36.2","21.3","17.0","8.5","1.1",".",".",".",".",".",".",".",".",".","."
"Antimicrobial Stewardship","560","001","22","3.682","68.2","27.3",".",".",".",".","4.5",".",".",".",".",".",".",".",".","."
"Medical Imaging for Pharmacist","611","001","32","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phm Prac Experiencs III","625","001","94","3.926","88.3","10.6",".",".","1.1",".",".",".",".",".",".",".",".",".",".","."
"Practice Innovation I","628","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comprehnsv Immunizatn Delivery","650","001","125","3.332","32.0","24.0","31.2","7.2","4.8",".","0.8",".",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills III","653","001","94","3.957","91.5","8.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy III","655","001","94","3.324","24.5","36.2","22.3","13.8","3.2",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Therapeutics","670","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminars in Cardiology","677","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","053","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","055","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","067","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","085","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","090","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740","003","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740","004","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740","005","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","","Course Total","51","3.912","84.3","13.7","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741","003","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","741","004","21","3.905","85.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
