"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"Nursing Education Practicum
787","001","","9","3.938","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Independent Study
799","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Qualitative Design & Methods
804","001","","13","3.917","76.9","15.4",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Advanced Pathophysiology
811","001","","21","3.762","61.9","28.6","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Knowledge Developmt in Nursing
815","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"816","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"816","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar in Nursing Research","Course Total","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Clincal Field Practicum
819","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"826","010","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"826","020","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"826","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"826","060","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations APN Clin Pract III","Course Total","","36","3.903","83.3","13.9","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"828","010","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"828","011","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"828","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"828","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"828","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"828","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"828","060","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"828","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"828","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Leadership III","Course Total","","36","3.930","88.9","8.3","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"847","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"847","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Policy Practicum","Course Total","","4","***","","","","","","","","","","","","","","","",""
"906","001","","35","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"906","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Scholarly Project","Course Total","","37","",".",".",".",".",".",".",".","5.4",".",".",".","94.6",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","7","",".",".",".",".",".",".",".","71.4",".",".",".","28.6",".",".",".","."
"999","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
