"POPULATION HEALTH SCIENCE Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","","","",""
"Course Total
Research","26","",".",".",".",".","",".","",".","",".","73.1","",".",".","",".","15.4",".",".","11.5","."
"Dept. Total
810
POP HLTH","371","3.852","42.6","10.5","2.7",".","",".","",".","",".","25.9","",".","15.1","",".","1.1","0.8",".","1.3","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","16","3.781","68.8","18.8","12.5",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","53","3.877","83.0","9.4","7.5",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","69","3.854","79.7","11.6","8.7",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Special","5","***","","","","","","","","","","","","","",".","",".",".",".",".","20.0","."
"Graduate","156","3.847","59.0","19.2","1.9",".","",".","",".","",".","13.5","",".",".","",".","2.6","1.3",".","2.6","."
"Prof Yr 1","51","",".",".",".",".","",".","",".","",".",".","",".","100.0","",".",".",".",".",".","."
"Prof Yr 2","5","***","","","","","","","","","","","","","","100.0","",".",".",".",".",".","."
"Prof Yr 3","8","4.000","75.0",".",".",".","",".","",".","",".","12.5","",".",".","",".",".","12.5",".",".","."
"Prof Yr 4","77","3.875","2.6","1.3",".",".","",".","",".","",".","96.1","",".",".","",".",".",".",".",".","."
"Professionals","141","3.955","5.7","0.7",".",".","",".","",".","",".","53.2","",".","39.7","",".",".","0.7",".",".","."
"Dept. Total","371","3.852","42.6","10.5","2.7",".","",".","",".","",".","25.9","",".","15.1","",".","1.1","0.8",".","1.3","."
