"DERMATOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"229
DERM","","","","","","","","","","","","","","","","","","","",""
"Skin Biology and Skin Diseases
601","001","","45","3.978","95.6","4.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research-DERM","Course Total","","4","***","","","","","","","","","","","","","","","",""
"919","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indiv Clinical Derm Elective","Course Total","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"953","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"953","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"953","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"953","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Dermatology Elective","Course Total","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
