"OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","",""
"699","028","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reproductive Endocrine Physiol
710","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race in American OB/GYN
917","008","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"919","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","043","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"919","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized Ob/Gyn Elective","Course Total","","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"921","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gynecologic Oncology","Course Total","","3","***","","","","","","","","","","","","","","","",""
"935","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"935","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"935","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching in Clinical Setting","Course Total","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Obs Gyn Inpt Acting Internship
938","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Endocrinlgy-Reprodctve Phys
954","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Responsible Conduct
955","001","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
