"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"","120
001","153","3.215","32.0","21.6","28.1","7.8","3.3","3.3","2.6","1.3",".",".",".",".",".",".",".","."
"","120
002","96","3.821","67.7","27.1","4.2",".",".",".",".","1.0",".",".",".",".",".",".",".","."
"Marriage and Family","Course Total","249","3.409","45.8","23.7","18.9","4.8","2.0","2.0","1.6","1.2",".",".",".",".",".",".",".","."
"","125
001","20","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
002","46","3.144","19.6","23.9","37.0","8.7","4.3","4.3",".",".",".",".",".",".","2.2",".",".","."
"Amer Soc: How It Really Works","Course Total","66","3.296","28.8","31.8","25.8","6.1","3.0","3.0",".",".",".",".",".",".","1.5",".",".","."
"Criminal Justice in America","131
001","144","3.021","16.7","16.0","36.1","14.6","13.9","0.7",".",".",".",".",".",".",".",".","2.1","."
"","134
001","180","3.377","40.0","25.6","16.1","10.6","5.0","1.7","0.6",".",".",".",".",".",".",".","0.6","."
"","134
002","183","3.202","27.3","27.9","19.7","12.6","10.4","2.2",".",".",".",".",".",".",".",".",".","."
"","134
003","188","3.436","41.0","25.5","18.1","10.6","4.8",".",".",".",".",".",".",".",".",".",".","."
"","134
004","188","3.548","50.5","25.0","12.2","8.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"","134
005","14","3.500","35.7","21.4","14.3",".","7.1",".",".",".",".",".",".",".","21.4",".",".","."
"Soc of Race & Ethnicity in US","Course Total","753","3.393","39.7","25.9","16.5","10.2","6.1","0.9","0.1",".",".",".",".",".","0.4",".","0.1","."
"The Sociology of Gender","138
002","85","3.576","58.8","18.8","11.8","4.7","4.7",".","1.2",".",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","140
001","72","3.326","26.4","34.7","16.7","13.9","2.8","1.4",".",".",".",".",".",".","1.4",".","2.8","."
"Hum Sexuality-Soc,Psych Iss","160
001","34","3.206","23.5","41.2","14.7","5.9","11.8",".","2.9",".",".",".",".",".",".",".",".","."
"Population Problems","170
001","189","3.452","41.8","29.1","16.4","9.5","1.1","1.1","1.1",".",".",".",".",".",".",".",".","."
"Hnrs Smr:Sociolgl Enterprse","181
001","19","3.917","84.2","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","5.3"
"","196
001","30","3.966","90.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","3.3","."
"","196
002","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"","196
003","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","196
004","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Topics in Sociology","Course Total","77","3.973","92.2","5.2",".",".",".",".",".",".",".",".",".",".","1.3",".","1.3","."
"Intro to LGBTQ+ Studies","200
001","53","3.802","88.7","1.9","3.8",".","3.8",".","1.9",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210
001","67","3.493","52.2","16.4","17.9","4.5","9.0",".",".",".",".",".",".",".",".",".",".","."
"","211
002","47","3.840","78.7","10.6","10.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","211
003","35","3.657","57.1","20.0","20.0","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","Course Total","82","3.762","69.5","14.6","14.6","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220
001","60","3.427","35.0","35.0","11.7","6.7",".",".","3.3","3.3",".",".",".",".","5.0",".",".","."
"Technology and Society","245
001","13","3.654","61.5","23.1","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","248
001","13","3.885","92.3",".",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"God & Money","273
001","31","3.516","41.9","32.3","16.1","6.5","3.2",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","14","3.036","7.1","57.1","14.3","7.1","7.1",".","7.1",".",".",".",".",".",".",".",".","."
"","320
236","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320
278","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Practicum","Course Total","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Issues in Food Systems","340
001","7","3.429","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Sociology of Health & Medicine","343
001","45","3.822","68.9","26.7","4.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","357
001","60","3.475","55.0","23.3","5.0","8.3","5.0",".","3.3",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","360
001","89","3.253","39.3","14.6","23.6","11.2","7.9","2.2","1.1",".",".",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","Page 353 of 478",""
