"MEDICAL HISTORY AND BIOETH Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","",""
"Bodies, Diseases, and Healers","212","001","","78","3.801","83.3","7.7","1.3","3.8","2.6","1.3",".",".",".",".",".",".",".",".",".","."
"Dev Public Health-America","509","001","","39","3.564","48.7","30.8","17.9",".",".",".","2.6",".",".",".",".",".",".",".",".","."
"Eth & Reg Iss-Clin Investigatn","545","001","","6","3.700","33.3","50.0",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Ind Study in Med History","699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Development of Pub Health-Amer","709","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Bioethics","729","101","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Ethics & U.S. Health Policy","742","015","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Intro to Med Humanities","744","007","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Race,Science&Med:Past&Present","746","009","","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Migration and Global Health","750","010","","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","890","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","890","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"452
MED HIST","","Dept. Total","","219","3.732","42.9","9.6","3.7","1.4","0.9","0.5","0.5","40.2",".",".",".",".","0.5",".",".","."
