"TERM : 1252","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2024-2025","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","",""
"CELL AND REGENERATIVE BIOL Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"217
CRB","","","","","","","","","","","","","","","","","","","","","","",""
"Dept. Total
217
CRB","298","3.798","63.4","22.1","3.7","1.7","0.3","",".","0.3","7.7","",".",".","",".","",".","",".",".","0.7","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"217
CRB","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","7","3.947","85.7","14.3",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","16","3.852","87.5",".",".",".",".","",".","6.3",".","",".",".","",".","",".","",".",".","6.3","."
"Senior","53","3.801","79.2","11.3","7.5","1.9",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","76","3.826","81.6","9.2","5.3","1.3",".","",".","1.3",".","",".",".","",".","",".","",".",".","1.3","."
"Special","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","219","3.788","58.0","26.9","3.2","1.8","0.5","",".",".","9.1","",".",".","",".","",".","",".",".","0.5","."
"Prof Yr 3","2","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","2","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Dept. Total","298","3.798","63.4","22.1","3.7","1.7","0.3","",".","0.3","7.7","",".",".","",".","",".","",".",".","0.7","."
