"AFRICAN AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro to AfroAm Studies","101","001","20","3.625","50.0","35.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Hip-Hop and Cont Am Society","154","001","220","3.963","93.6","2.7","0.9",".",".","0.5",".","2.3",".",".",".",".",".",".",".","."
"They: Race in Amer Lit","155","001","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Black Music&Am Cultrl Hist","156","001","291","3.849","80.1","12.0","2.4","0.7","0.7","0.3","0.7","2.4",".",".",".",".","0.7",".",".","."
"Intro-Black Women Writers","222","001","18","3.278","27.8","22.2","33.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"Intro-AfricanAmer Dramatic Lit","225","001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Africn Art&Architectr","241","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Afro-American Art","242","001","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"African-American Autobiography","265","001","30","3.450","56.7","16.7","16.7",".","3.3","3.3","3.3",".",".",".",".",".",".",".",".","."
"","271","001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271","002","16","3.594","56.3","25.0","6.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","271","005","24","3.042","16.7","20.8","37.5","12.5","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"","271","006","18","3.156","33.3","11.1","22.2","16.7",".",".","5.6",".",".",".",".",".","11.1",".",".","."
"Topics in African Amer Culture","","Course Total","81","3.456","51.9","13.6","17.3","8.6","3.7","1.2","1.2",".",".",".",".",".","2.5",".",".","."
"Race&Am Pol:New Deal-New Right","272","001","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","9","3.500","33.3","44.4","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad St-Afroam History","302","001","9","3.125","22.2","44.4","11.1",".",".",".","11.1",".",".",".",".",".","11.1",".",".","."
"W African Dance/Music-Americas","318","001","42","3.927","92.9",".","2.4",".","2.4",".",".",".",".",".",".",".",".","2.4",".","."
"Afro Asian Improv","319","001","10","3.450","60.0","10.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"The Black Arts Movement","338","001","22","3.810","72.7","9.1","13.6",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"African Amer Political Theory","519","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Major Authors","525","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Slavery & Capitalism in U.S.","621","001","14","3.786","85.7",".","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Hist-Civ Rghts Movmnt in US","628","001","7","3.500","28.6","28.6","28.6",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Topics in Afro-Am History","671","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","673","001","7","3.417","28.6","14.3","42.9",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","673","003","11","3.833","63.6","9.1","9.1",".",".",".",".","9.1",".",".",".",".","9.1",".",".","."
"Topics in Afro-Am Society","","Course Total","18","3.667","50.0","11.1","22.2",".",".",".",".","5.6",".",".",".",".","11.1",".",".","."
"Perspctv-Black Women Writng","677","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist,Thry &Meth in Visual Cult","801","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
