"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"741","005","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"741","170","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"741","270","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","","48","3.896","85.4","10.4","2.1","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"742","003","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"742","004","","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"742","005","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health-system Pharm Clerkship","Course Total","","48","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"743","003","","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"743","004","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"743","005","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Pharmarcy Practice","Course Total","","44","3.989","97.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd
746","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"760","003","","47","3.872","83.0","10.6","4.3","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"760","004","","46","3.880","84.8","10.9",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"760","005","","53","3.840","77.4","15.1","5.7","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"760","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","118","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"760","125","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","181","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","215","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"760","219","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","280","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"760","281","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760","286","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elective Pharm Pract Clkshp","Course Total","","159","3.871","82.4","11.9","3.1","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"761","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"761","161","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"761","261","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"International Pharm Clerkship","Course Total","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship
764","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"769","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"769","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"769","222","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"769","253","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Rsrch & Pharm Investig","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Grad Sem Hlth-System Pharmacy
961","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study
999","028","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
