"MEDICAL SCIENCES - MED SCH Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"Med Spanish for Hlth Sci Stdts
735
001","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pts, Prof. and Public Health
770
001","","174","",".",".",".",".",".",".",".","99.4","0.6",".",".",".",".",".",".","."
"Body in Balance
771
001","","173","",".",".",".",".",".",".",".","91.9",".",".",".",".",".",".",".","8.1"
"Invaders and Defense
774
100","","169","",".",".",".",".",".",".",".","97.0","3.0",".",".",".",".",".",".","."
"Mind & Motion
775
001","","170","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"810
021","","40","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"810
022","","43","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Course Total
SCOPE","","83","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"811
021","","42","",".",".",".",".",".",".",".","95.2","2.4",".",".",".","2.4",".",".","."
"811
022","","46","",".",".",".",".",".",".",".","87.0",".",".",".",".","6.5",".",".","6.5"
"Course Total
Chronic and Preventive Care","","88","",".",".",".",".",".",".",".","90.9","1.1",".",".",".","4.5",".",".","3.4"
"812
021","","48","",".",".",".",".",".",".",".","97.9",".",".",".",".",".",".",".","2.1"
"812
022","","38","",".",".",".",".",".",".",".","92.1",".",".",".",".","5.3",".",".","2.6"
"Course Total
Acute Care","","86","",".",".",".",".",".",".",".","95.3",".",".",".",".","2.3",".",".","2.3"
"813
021","","44","",".",".",".",".",".",".",".","97.7",".",".",".",".","2.3",".",".","."
"813
022","","44","",".",".",".",".",".",".",".","86.4",".",".",".",".","4.5",".",".","9.1"
"813
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Surgical and Procedural Care","","89","",".",".",".",".",".",".",".","92.1",".",".",".",".","3.4",".",".","4.5"
"902
041","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
042","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
043","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
044","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Ambulatory Acting Internship","","54","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Lab-based Teaching in Med Ed
912
010","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Case-based Teaching in Med Ed
914
044","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advocating for Patients
940
007","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Advocating for Populations
941
008","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Nrtve Med, Strytllng & Res Prp
942
101","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
