"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"PHARMACOLOGY","Section
#","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"724
PHMCOL-M","","","","","","","","","","","","","","","","","","","","","","","",""
"724
PHMCOL-M","Dept. Total
88","3.952","54.5","6.8","",".","",".","",".","",".","",".","33.0","",".",".",".","1.1",".",".","4.5","."
"Summary by Level","#","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"724
PHMCOL-M","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Senior","3","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","4","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","83","3.940","53.0","7.2","",".","",".","",".","",".","",".","33.7","",".",".",".","1.2",".",".","4.8","."
"Prof Yr 3","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total
88","3.952","54.5","6.8","",".","",".","",".","",".","",".","33.0","",".",".",".","1.1",".",".","4.5","."
