"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"Online Comm & Personal Rltnshp","345","001","97","3.418","34.0","37.1","14.4","9.3","4.1","1.0",".",".",".",".",".",".",".",".",".","."
"Critical Internet Studies","346","001","96","3.274","31.3","32.3","8.3","17.7","7.3","2.1",".","1.0",".",".",".",".",".",".",".","."
"Race, Ethnicity, and Media","347","001","38","3.434","44.7","26.3","15.8","7.9",".","5.3",".",".",".",".",".",".",".",".",".","."
"Introduction to Film","350","001","137","3.553","52.6","26.3","8.0","4.4","2.2","0.7","2.2","3.6",".",".",".",".",".",".",".","."
"Television Industries","351","001","88","3.170","14.8","33.0","33.0","12.5","5.7","1.1",".",".",".",".",".",".",".",".",".","."
"Film Genres","354","001","43","3.237","9.3","39.5","27.9","7.0","4.7",".",".","7.0",".",".",".",".","2.3","2.3",".","."
"Intro to Media Production","355","001","137","3.536","36.5","40.9","16.8","5.1","0.7",".",".",".",".",".",".",".",".",".",".","."
"History of Documentary Film","358","001","22","3.639","40.9","22.7","18.2",".",".",".",".","13.6",".",".",".",".",".",".","4.5","."
"Quantitatve Rsch-Communictn","361","001","60","3.575","58.3","16.7","13.3","5.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","72","3.514","58.3","16.7","11.1","5.6","5.6","1.4","1.4",".",".",".",".",".",".",".",".","."
"Rhetoric US President Election","369","001","119","3.686","61.3","24.4","3.4","1.7","2.5",".","1.7","5.0",".",".",".",".",".",".",".","."
"Great Speakers and Speeches","370","001","101","3.815","75.2","8.9","3.0","1.0","2.0",".","1.0","8.9",".",".",".",".",".",".",".","."
"Ethics of Entertainment Media","375","001","25","3.420","28.0","48.0","8.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Topics in Digital Studies","377","001","25","3.708","52.0","32.0","12.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Psychology of Communication","402","001","20","3.444","25.0","35.0","25.0","5.0",".",".",".",".",".",".",".",".","5.0","5.0",".","."
"Gender Sexuality & the Media","418","001","13","3.500","76.9","7.7",".",".","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"Latino/as and Media","419","001","10","3.600","60.0","20.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Asian Americans and Media","420","001","18","3.472","61.1","16.7","11.1",".","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"Sound Cultures/Podcasting","449","001","43","3.326","27.9","32.6","25.6","4.7","9.3",".",".",".",".",".",".",".",".",".",".","."
"Television Criticism","451","001","18","3.306","33.3","33.3","11.1","5.6","16.7",".",".",".",".",".",".",".",".",".",".","."
"French Film","455","001","16","3.563","56.3","12.5","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Avant-Garde Film","463","001","11","3.056","9.1","27.3","18.2","18.2","9.1",".",".",".",".",".",".",".","18.2",".",".","."
"Editing & Post-prod:Video&Film","465","001","44","3.830","81.8","9.1","4.5","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"Writing for TV & Film","466","001","41","3.415","36.6","39.0","14.6","4.9",".","2.4","2.4",".",".",".",".",".",".",".",".","."
"","467","001","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","467","002","18","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cinematography & Sound Rcrdng","","Course Total","36","3.750","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","468","001","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","468","002","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Producing Internet TV & Video","","Course Total","39","3.936","87.2","12.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comm & Health Inequalities","518","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Storytelling for Social Media","522","001","34","3.294","47.1","8.8","17.6","20.6","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"Contemporary Hollywood Cinema","552","001","31","3.268","35.5","19.4","9.7","9.7","16.1",".",".","9.7",".",".",".",".",".",".",".","."
"Communicatn in Complex Orgs","575","001","25","3.280","44.0","20.0","16.0","4.0","12.0",".","4.0",".",".",".",".",".",".",".",".","."
"Dynamics of Online Relatnshps","577","001","16","3.125","31.3","25.0","25.0",".","6.3","12.5",".",".",".",".",".",".",".",".",".","."
"Digital Studies Capstone","605","001","117","",".",".",".",".",".",".",".",".",".","99.1","0.9",".",".",".",".","."
"Topics-Rhetoric&Pub Address","610","001","21","3.806","66.7","14.3",".",".","4.8",".",".","14.3",".",".",".",".",".",".",".","."
"Field Exper in Communicatn","614","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
