"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"","100
001","79","3.911","94.9","1.3","1.3","1.3",".",".","1.3",".",".",".",".",".",".",".",".","."
"","100
002","80","3.781","83.8","7.5","2.5","1.3","2.5","1.3","1.3",".",".",".",".",".",".",".",".","."
"So You Want to Chng the World?","Course Total","159","3.846","89.3","4.4","1.9","1.3","1.3","0.6","1.3",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","105
001","40","3.575","52.5","25.0","10.0","10.0","2.5",".",".",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","72","3.313","40.3","27.8","16.7","6.9","2.8",".","5.6",".",".",".",".",".",".",".",".","."
"Introduction-Social Policy","206
001","33","3.076","6.1","39.4","33.3","12.1","6.1","3.0",".",".",".",".",".",".",".",".",".","."
"Cont Issues-Social Welfare","275
001","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cont Issues-Social Welfare","375
001","21","3.286","19.0","33.3","38.1","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","400
001","15","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
002","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
003","13","3.917","76.9","15.4",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","400
004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
023","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
041","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
043","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
101","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr I","Course Total","96","3.926","86.5","10.4","2.1",".",".",".",".",".",".",".",".",".","1.0",".",".","."
"Poverty and Social Welfare","420
001","15","3.600","53.3","33.3",".","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Social Issues in Aging","422
001","13","3.682","46.2","30.8",".","7.7",".",".",".","15.4",".",".",".",".",".",".",".","."
"","441
001","17","3.765","58.8","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
002","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
003","17","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
005","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
006","13","3.538","61.5","30.8",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","441
011","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"SW with Ind, Fams, and Grps","Course Total","96","3.859","80.2","17.7","1.0",".",".",".","1.0",".",".",".",".",".",".",".",".","."
"","442
002","21","3.810","66.7","28.6","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
003","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
004","21","3.881","76.2","23.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
005","20","3.868","70.0","25.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Genlst Pract w Comms & Orgs","Course Total","82","3.877","75.6","22.0","1.2",".",".",".",".",".",".",".",".",".","1.2",".",".","."
"Substance Use Disorders","453
001","118","3.898","84.7","12.7",".","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Child Welfare","462
001","22","3.690","63.6","4.5","27.3",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Interpersonal Violence","623
001","18","3.861","88.9","5.6",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Diversity Opp Soc Just in SW","640
001","75","3.687","57.3","34.7","4.0","1.3",".","2.7",".",".",".",".",".",".",".",".",".","."
"Issues in Dev. Disabilities","644
001","43","3.640","76.7","4.7","9.3","2.3","2.3","2.3","2.3",".",".",".",".",".",".",".",".","."
"Child Abuse and Neglect","646
001","22","3.864","86.4","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","708
001","28","3.833","64.3","32.1",".",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"","708
010","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
