"OCCUPATIONAL THER (DEPT-KI Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"695
OCC THER","","","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100","001","","49","3.724","81.6","8.2","4.1","2.0",".",".","4.1",".",".",".",".",".",".",".",".","."
"Applied Neuroanatomy","640","001","","34","3.985","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Conditions I","651","001","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professnl/Leadership Skills 1","710","002","","34","3.868","76.5","20.6","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professnl/Leadership Skills 3","712","001","","29","3.828","72.4","20.7","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Enable Occ 1: Adult Focus","722","001","","34","3.809","67.6","26.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Enable Occ 4: Peds","725","001","","21","3.381","19.0","38.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Level 1 Fieldwork C","728","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Living Well: Promoting Health","734","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770","003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770","004","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770","005","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770","006","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"EBP Lab Practicum","","Course Total","","55","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evidence Based Practice 1","771","001","","34","3.838","79.4","11.8","5.9","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Evidence Based Practice 3","773","001","","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appld Leadshp & Mangmnt in OT","811","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Trends OT Practice","812","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Case Synthesis 1","821","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Case Synthesis 2","822","001","","29","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"OTD Capstone 1","881","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
