"COMMUNITY & ENVIRONMENTA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"864
C&E SOC","","","","","","","","","","","","","","","","","","","",""
"Agroecology of Food and Ag
103","002","","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc
140","001","","28","3.571","50.0","25.0","14.3","10.7",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Sociology
210","001","","14","3.607","42.9","42.9","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"211","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"211","003","","7","3.071","28.6","42.9",".",".","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"The Sociological Enterprise","Course Total","","10","3.300","40.0","40.0",".",".","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"Technology and Society
245","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Envir, Nat Resources & Society
248","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Issues in Food Systems
340","001","","16","3.875","93.8",".",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Health & Medicine
343","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry
357","001","","14","3.607","42.9","35.7","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I
360","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Stats for Sociologists II
361","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics
375","002","","27","3.935","77.8","3.7","3.7",".",".",".",".","3.7",".",".",".",".","11.1",".",".","."
"Coord Intrnshp/Cooprtv Educ
399","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"475","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"475","003","","7","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","Course Total","","10","3.500","20.0","40.0","20.0",".",".",".",".",".",".",".",".",".","20.0",".",".","."
"Public Hlth-Rural & Urban Comm
533","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociol-Economic Institutions
652","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems
699","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Seminar-Rural Sociology
945","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Rsch: Methodology Trainees
995","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch-Demogrphy&Ecol Trainee
997","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
