"PHM","","","","","","","","","","","","","","","","","","","",""
"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"764","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"764","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","","2","***","","","","","","","","","","","","","","","",""
"769","125","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"769","225","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Rsrch & Pharm Investig","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Grad Sem Hlth-System Pharmacy
962","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study
999","028","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"728
PHM PRAC","Dept. Total","","1724","3.763","74.5","11.8","6.6","3.8","1.3",".","0.1",".",".","1.9",".",".",".","0.1",".","0.1"
