"CIVIL SOC & COMMUNITY STUDI Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"247
CSCS","","","","","","","","","","","","","","","","","","","","",""
"Community and Social Change","125","001","","55","3.391","29.1","41.8","14.5","7.3","7.3",".",".",".",".",".",".",".",".",".",".","."
"CNPL Leadership Symposium","254","001","","38","3.763","65.8","23.7","7.9","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Evaluation and Planning","345","001","","17","3.529","52.9","17.6","11.8","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","375","001","","37","3.903","83.8","10.8",".","2.7",".",".",".",".",".",".",".",".","2.7",".",".","."
"Philanthropy & Civic Engagemnt","400","001","","38","3.618","78.9",".","7.9","2.6","5.3","5.3",".",".",".",".",".",".",".",".",".","."
"Fundraising & Development","430","001","","43","3.872","76.7","20.9","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","455","001","","36","3.875","77.8","19.4","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","455","002","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurialism and Society","","Course Total","","60","3.917","85.0","13.3","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","501","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Based Resrch & Eval","570","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Issues and Action","600","001","","37","3.986","94.6","2.7",".",".",".",".",".",".",".",".",".",".","2.7",".",".","."
"Internship","601","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","004","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonprfit Brd Leadrship Devo II","743","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Building Civil Society","775","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comm Power & Collective Action","795","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community-Based Research","811","001","","20","3.737","85.0",".","5.0",".",".",".","5.0",".",".",".",".",".","5.0",".",".","."
"Transformative Evaluation","813","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
