"PATHO-BIOLOGICAL SCIENCES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","",""
"Parasitology
350","001","","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sci Ethics Dis of Animal Rsrch
370","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Veterinary Parasitology
514","001","","95","3.647","52.6","26.3","18.9","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"Reg Vet Med & Public Health
515","001","","88","3.903","83.0","14.8","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Active, Integrated Learning II
526","001","","91","4.000","94.5",".",".",".",".",".",".","5.5",".",".",".",".",".",".",".","."
"Veterinary Systemic Path II
561","001","","92","3.489","35.9","33.7","26.1","1.1","3.3",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Clinic Pathology
562","001","","92","3.652","51.1","29.3","18.5","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"Vet Necropsy Diag Pathology
660","001","","34","4.000","97.1",".",".",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"675","001","","187","",".",".",".",".",".",".",".","97.9",".",".",".",".","1.6",".","0.5","."
"675","002","","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","005","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","219","",".",".",".",".",".",".",".","98.2",".",".",".",".","1.4",".","0.5","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","106","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","21","4.000","90.5",".",".",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"Vertebrate Viral Disease
750","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"775","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Advanced Seminar
930","011","","26","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
