"OCCUPATIONAL THER (DEPT-KI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"695
OCC THER","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100
001","60","3.746","78.3","10.0","3.3","3.3",".","1.7","1.7","1.7",".",".",".",".",".",".",".","."
"Digital Health","517
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Level II Fieldwork A","662
002","30","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Professnl/Leadership Skills 2","711
001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Enable Occ 2: Adult Focus","723
001","30","3.767","60.0","33.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Level 1 Fieldwork A","726
001","30","3.817","66.7","30.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Living Well 2","732
001","30","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","770
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","770
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","770
004","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
005","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","770
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"EBP Lab Practicum","Course Total","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Evidence Based Practice 2","772
001","30","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Capstone","880
002","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Project II","882
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Inter-Prof Devel Leadership","890
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"695
OCC THER","Dept. Total","310","3.856","73.2","11.6","2.9","0.6",".","0.3","0.3","0.3",".","10.3",".",".",".",".","0.3","."
