"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","",""
"EDUCATIONAL POLICY STUDIES Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","","",""
"Hist:The Univ in the West","107","001","","16","3.433","37.5","25.0","18.8","6.3","6.3",".",".",".",".",".",".",".","6.3",".",".","."
"Introduction to Education","140","001","","28","3.804","82.1","7.1","3.6","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"History of Race and Inequality","143","001","","42","3.560","57.1","26.2","2.4","4.8","7.1","2.4",".",".",".",".",".",".",".",".",".","."
"Intro to Education Policy","145","001","","59","3.449","66.1","11.9","5.1","6.8","3.4",".","6.8",".",".",".",".",".",".",".",".","."
"","150","004","","38","3.921","89.5","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150","005","","47","3.880","83.0","8.5","4.3","2.1",".",".",".",".",".",".",".",".","2.1",".",".","."
"","150","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Education and Public Policy","","Course Total","","89","3.900","86.5","6.7","4.5","1.1",".",".",".",".",".",".",".",".","1.1",".",".","."
"Lang & Social Inequality","205","001","","15","3.808","73.3",".","6.7","6.7",".",".",".",".",".",".",".",".","13.3",".",".","."
"Intro Quant Methods in Ed Pol","209","001","","38","3.724","68.4","18.4","7.9",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","210","001","","98","3.944","90.8","7.1","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210","002","","48","3.917","97.9",".",".",".",".",".","2.1",".",".",".",".",".",".",".",".","."
"Youth, Education, and Society","","Course Total","","146","3.935","93.2","4.8","1.4",".",".",".","0.7",".",".",".",".",".",".",".",".","."
"Education for Social Justice","212","001","","51","3.980","96.1","3.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","220","001","","22","3.864","90.9",".",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","220","002","","30","3.900","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Rights and Education","","Course Total","","52","3.885","88.5","3.8","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Wealth, Poverty and Inequality","237","001","","25","3.957","88.0",".","4.0",".",".",".",".",".",".",".",".",".","8.0",".",".","."
"","240","001","","47","3.935","87.2","8.5","2.1",".",".",".",".",".",".",".",".",".","2.1",".",".","."
"","240","002","","46","3.944","91.3","2.2","4.3",".",".",".",".",".",".",".",".",".","2.2",".",".","."
"Comparative Education","","Course Total","","93","3.940","89.2","5.4","3.2",".",".",".",".",".",".",".",".",".","2.2",".",".","."
"","300","001","","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","002","","49","3.898","85.7","8.2","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","003","","50","3.910","90.0","6.0","2.0",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"School and Society","","Course Total","","143","3.934","91.6","4.9","2.8",".","0.7",".",".",".",".",".",".",".",".",".",".","."
"Democracy and Education","305","001","","25","3.740","68.0","20.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Climate Chng, Sustain, and Ed","320","001","","52","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Globalization and Education","335","001","","27","3.904","88.9","3.7",".",".","3.7",".",".",".",".",".",".",".","3.7",".",".","."
"Independent Reading","399","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"History-American Education","412","001","","75","3.651","45.3","41.3","6.7","2.7","1.3",".",".",".",".",".",".",".","2.7",".",".","."
"Rethinking After School Educ","450","001","","29","3.778","69.0","20.7",".",".",".","3.4",".",".",".",".",".",".","6.9",".",".","."
"Immigration Education Equity","460","001","","26","3.923","88.5","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics on Soc Issues and Ed","500","001","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Debates in Higher Ed Pol","518","001","","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Philos Concepts-Tch&Learng","545","001","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender and Education","560","001","","22","3.841","90.9","4.5",".",".",".","4.5",".",".",".",".",".",".",".",".",".","."
"Problems in Educ Pol","600","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Education","648","001","","16","3.875","93.8",".",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
