"FAMILY MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"370
FAM MED","","","","","","","","","","","","","","","","","","","",""
"935","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Family Medicine elective","Course Total","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"937","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"937","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"937","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"937","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fam Medicine UW Hospital Sub-I","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"941","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"941","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Family Medicine Elective","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
