"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"Drugs and Their Actions
310","001","","196","3.352","46.4","17.3","11.2","12.2","11.7","1.0",".",".",".",".",".",".",".",".",".","."
"Biol Interactions w/ Materials
430","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Selected Topics-Pharm Sci
490","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Pharmacology II
522","001","","135","3.570","48.9","22.2","24.4","3.0","1.5",".",".",".",".",".",".",".",".",".",".","."
"Medicinal Chemistry I
531","001","","100","3.100","35.0","14.0","22.0","12.0","10.0","5.0","2.0",".",".",".",".",".",".",".",".","."
"Medicinal Chemistry II
532","001","","122","3.557","51.6","18.0","23.0","4.9","2.5",".",".",".",".",".",".",".",".",".",".","."
"Pharm Calc & Compounding
541","001","","99","3.641","56.6","21.2","18.2","2.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"Mol & Cell Principles in Pharm
581","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Toxicology II
626","001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacol & Toxicology Seminar
679","001","","41","3.915","92.7","2.4","2.4",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"751","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"751","002","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Reg Practice","Course Total","","15","3.833","80.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"752","001","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"752","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"GxP: Working in Reg Environmnt","Course Total","","22","3.886","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"753","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"753","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharm Economics and Proj","Course Total","","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"754","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"754","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"LifecycleManagement","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab and Instrumentation
755","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Data Analyses Drug Dev
756","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Trends in Drug Disc/Dev
759","001","","13","3.577","53.8","15.4","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","","Page 457 of 476",""
