"MED","","","","","","","","","","","","","","","","","","","","",""
"GENETIC COUNSELOR STUDIES Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"413
GENECSLR","","","","","","","","","","","","","","","","","","","","",""
"Practicum-Genetic Coun","714","010","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cancer Genetics Risk Assess","724","010","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Pro Iss-Gen Cnslng","737","010","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab Genet and Genom for the GC","740","010","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Embryology & Prenatal Genetics","742","010","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Int Cslng for the GC I","743","101","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr: Med Genetic Counsel Rsrch","745","010","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Adv Pract-Genetic Counselng","814","010","","8","3.764","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research in Genetic Counseling","","Course Total","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
