"NEUROLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","",""
"699","093","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","101","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","104","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","106","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","109","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","110","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","111","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","112","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","113","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","114","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","117","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","118","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","119","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Research in Neurology","Course Total","","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Cognition and Neuroanatomy
913","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Neurol, Diet & Neurol Dis
914","004","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"919","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Neurol Indiv Clin Elective","Course Total","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
