"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"NUR","","","","","","","","","","","","","","","","","","",""
"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","205","3.720","66.8","21.5","5.4","2.4","1.0",".","1.5",".",".",".",".",".",".",".","1.5","."
"Independent Reading","299
018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pathophys for Nrsg Practice","318
001","157","3.600","45.9","30.6","18.5","3.8",".",".",".","1.3",".",".",".",".",".",".",".","."
"Hlth & Ill Indiv Fam","323
001","160","2.800","1.3","25.0","30.0","27.5","12.5","3.8",".",".",".",".",".",".",".",".",".","."
"Mtg Psychosocial Hlth Needs","324
001","158","3.358","8.2","60.1","26.6","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"","325
001","80","3.750","53.8","42.5","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","325
002","78","3.788","61.5","34.6","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Profnlism in Hlth Care Stgs","Course Total","158","3.769","57.6","38.6","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Ill Indiv Fam Exp Lrng I","326
001","159","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Hlt Ill Indiv Fam Exp Lrng II","327
001","158","",".",".",".",".",".",".",".",".",".","99.4",".",".",".",".",".","."
"Hlth & Ill Indiv Fam Cmty: EL","436
003","47","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Soc Justice in Loc & Glb Stgs","437
003","47","3.894","83.0","12.8","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Syst, Polc, & Econ","442
001","27","3.852","77.8","14.8","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","443
001","152","3.329","14.5","45.4","32.9","5.9","1.3",".",".",".",".",".",".",".",".",".",".","."
"","443
003","47","3.309","6.4","55.3","31.9","6.4",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Cnpts in Cplx Nrsg Prac","Course Total","199","3.324","12.6","47.7","32.7","6.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"Hlth Syst, Polc, Econ, & Rsrch","444
001","125","3.756","57.6","36.8","4.8","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"Transformative Nrsg Capstone","445
001","152","3.849","76.3","18.4","4.6",".","0.7",".",".",".",".",".",".",".",".",".",".","."
"","446
001","92","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","446
002","60","",".",".",".",".",".",".",".",".",".","98.3","1.7",".",".",".",".","."
"","446
003","47","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Adv Cnpts in Cplx Nrsg Prc: EL","Course Total","199","",".",".",".",".",".",".",".",".",".","99.5","0.5",".",".",".",".","."
"Scholarship for Evd-Bsd Pract","447
003","47","3.904","80.9","19.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership in Nursing","448
003","47","3.926","89.4","6.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Nursing and Comm Hlth","470
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Culturally Congruent Practice","510
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cmnty Spts for Ppl w/ Dementia","511
001","20","3.642","60.0","25.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","517
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","517
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Digital Health","Course Total","2","***","","","","","","","","","","","","","","","",""
"Contemp Practices-Nursing","590
001","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","601
010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
011","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
020","9","3.833","88.9",".",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","601
021","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
040","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
060","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Health Assessment","Course Total","37","3.784","83.8","8.1","2.7","2.7",".",".","2.7",".",".",".",".",".",".",".",".","."
"Phrmcotherpeut-Adv Prac Nurses","605
001","35","3.786","77.1","20.0",".",".",".",".","2.9",".",".",".",".",".",".",".",".","."
"Seminars in Mental Health Care","674
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","Page 452 of 476",""
