"PATHOLOGY AND LABORATORY Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"404","001","","8","3.625","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"404","002","","32","3.828","75.0","18.8","3.1","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Pathophys Princ-Hum Disease","Course Total","","40","3.788","72.5","17.5","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","088","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","100","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","103","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","105","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","107","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","17","4.000","88.2",".",".",".",".",".",".",".",".",".",".",".",".",".","11.8","."
"Cellulr & Moleclr Biol/Path
750","001","","23","3.914","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Moleculr Mechanisms of Disease
809","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Student Seminar / Journal Club
901","001","","45","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"920","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","002","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"920","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Pathology Clerkship","Course Total","","37","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"921","004","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"921","005","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"921","006","","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"921","007","","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"921","008","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Transfusion Med Customized","Course Total","","98","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Laboratory Medicine Customized
922","003","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"923","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"923","002","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","","Page 421 of 476",""
