"RISK MANAGEMENT AND INSUR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","",""
"Principles of Risk Management","300
001","170","3.148","38.8","8.2","20.0","17.6","10.6","3.5","0.6","0.6",".",".",".",".",".",".",".","."
"","365
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Captive Insurance","635
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mgt-Insurance Enterprise","640
001","29","3.483","37.9","24.1","34.5","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"","660
001","49","3.663","57.1","28.6","10.2","2.0",".","2.0",".",".",".",".",".",".",".",".",".","."
"","660
002","57","3.588","52.6","19.3","24.6",".","3.5",".",".",".",".",".",".",".",".",".",".","."
"","660
003","48","3.667","60.4","20.8","16.7",".",".","2.1",".",".",".",".",".",".",".",".",".","."
"Risk Analytics & Behav Science","Course Total","154","3.636","56.5","22.7","17.5","0.6","1.3","1.3",".",".",".",".",".",".",".",".",".","."
"Cyber Risk & Regulations","670
001","21","3.476","42.9","19.0","33.3",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Risk Mgt & Tech in Digital Age","705
001","14","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Risk Management","710
050","47","3.532","44.7","17.0","38.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics in Risk Management","820
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
021","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","6","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"Read&Rsch-Risk Mgt&Ins Phd","999
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
