"COLLABORATIVE NURSING PRG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","",""
"Transitions: Pract & Prof
306","001","","14","3.429","57.1","21.4","7.1","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"Foundations Prof Nursing Pract
407","003","","11","3.591","54.5","9.1","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"441","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"441","003","","7","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chronic Care Management","Course Total","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"446","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"446","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Nrsg Research & EB Practice","Course Total","","6","3.600","33.3","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"447","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"447","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"447","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Leadership and Management","Course Total","","9","3.500","77.8","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"453","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"453","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Info Mgt & Hlthcare Tech","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"454","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"454","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Health Nursing","Course Total","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"490","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"490","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"490","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"490","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"490","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Nursing","Course Total","","9","3.500","77.8","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Capstone Practicum for RNs
519","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
