"SURGICAL SCIENCES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","",""
"Veterinary Ophthalmology","542","001","","88","3.727","62.5","20.5","17.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals Anesthesiology I","543","001","","91","3.940","87.9","12.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Surgery Fundamentals","544","001","","91","3.780","79.1",".","19.8",".","1.1",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals Anesthesiology II","545","001","","88","3.801","71.6","19.3","8.0",".","1.1",".",".",".",".",".",".",".",".",".",".","."
"Large Animal Surgery","631","001","","88","2.972","15.9","15.9","40.9","5.7","19.3","2.3",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery Lab","632","001","","88","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Small Animal Anesthesia Lab","634","001","","87","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","642","001","","42","4.000","21.4",".",".",".",".",".",".","78.6",".",".",".",".",".",".",".","."
"","642","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","","Course Total","","45","4.000","24.4",".",".",".",".",".",".","75.6",".",".",".",".",".",".",".","."
"Small Orthopedic Surgery","644","001","","25","4.000","40.0",".",".",".",".",".",".","60.0",".",".",".",".",".",".",".","."
"","645","001","","40","4.000","57.5",".",".",".",".",".",".","42.5",".",".",".",".",".",".",".","."
"","645","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","","Course Total","","41","4.000","58.5",".",".",".",".",".",".","41.5",".",".",".",".",".",".",".","."
"Veterinary Anesthesiology","646","001","","39","4.000","92.3",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Radiology Clinics","647","001","","37","4.000","89.2",".",".",".",".",".",".","10.8",".",".",".",".",".",".",".","."
"","675","004","","11","4.000","72.7",".",".",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"","675","005","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675","006","","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675","017","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675","023","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675","026","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675","027","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675","030","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","111","4.000","15.3",".",".",".",".",".",".","84.7",".",".",".",".",".",".",".","."
"Special Species Health","676","001","","88","3.778","71.6","14.8","11.4","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Vet Dentistry Elective","677","001","","21","4.000","90.5",".",".",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"","699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","131","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Species Rotation","710","001","","22","4.000","72.7",".",".",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"Wildlife Medicine Rotation","711","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Zoological Medicine Rotation","712","001","","9","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"SA Radiation Oncology","714","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Ophthalm Rotation","741","001","","35","4.000","68.6",".",".",".",".",".",".","31.4",".",".",".",".",".",".",".","."
