"OPHTHALMOLOGY AND VISUAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","",""
"699","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","152","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","294","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","298","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","299","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","23","3.973","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Vision Science
750","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med
910","044","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Intro to the Visual System
911","043","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"919","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Phase 3 Clinical","Course Total","","5","***","","","","","","","","","","","","","","","",""
