"","941
009","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","941
011","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","941
012","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Family Medicine Elective","Course Total","","6","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"370
FAM MED","Dept. Total","","88","4.000","10.2","",".","",".",".","",".","",".","",".","71.6","",".","18.2","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"370
FAM MED","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","","2","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","","","2","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","2","***","","","","","","","","","","","","","","","","50.0","",".","",".","",".",".",".","."
"Prof Yr 1","","","13","4.000","7.7","",".","",".",".","",".","",".","",".",".","",".","92.3","",".","",".","",".",".",".","."
"Prof Yr 2","","","2","***","","","","","","","","","","","","","","","","50.0","",".","",".","",".",".",".","."
"Prof Yr 3","","","39","4.000","5.1","",".","",".",".","",".","",".","",".","94.9","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","30","4.000","6.7","",".","",".",".","",".","",".","",".","86.7","",".","6.7","",".","",".","",".",".",".","."
"Professionals","","","84","4.000","7.1","",".","",".",".","",".","",".","",".","75.0","",".","17.9","",".","",".","",".",".",".","."
"","Dept. Total","","88","4.000","10.2","",".","",".",".","",".","",".","",".","71.6","",".","18.2","",".","",".","",".",".",".","."
