"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"Publ Hlth:Local-Globl Perspect
370","001","","311","3.400","29.3","35.7","21.5","11.9","1.3",".",".",".",".",".",".",".",".",".",".","0.3"
"Intro-Environmental Health
471","001","","104","3.714","57.7","27.9","11.5","1.9",".",".",".",".",".",".",".",".",".","1.0",".","."
"Regression Methods-Pop Health
552","001","","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics
650","089","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Regression Mthds-Pop Hlth
651","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","16","4.000","93.8",".",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Translat'l & Outcomes Research
709","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Climate Change Medicine
728","007","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Climt Chng, Human & Plan Hlth
739","002","","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles-Populatn Health Sci
795","002","","18","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Health Services Research
796","001","","15","3.700","53.3","40.0",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Epidemiologic Methods
798","001","","16","3.571","37.5","37.5","6.3",".","6.3",".",".","12.5",".",".",".",".",".",".",".","."
"Epidemiology-Infect Disease
801","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practice of Epidemiology
806","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Research Seminar
820","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"915","002","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"915","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915","050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Internl Hlth Systems & Policy","Course Total","","20","3.500","5.0","5.0","5.0",".",".",".",".","80.0",".",".",".",".","5.0",".",".","."
"Preventive Medicine Elective
917","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Env. Health and Advocacy
918","009","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","","Page 436 of 476",""
