"MEDICAL SCIENCES - MED SCH Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","",""
"722
004","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"722
005","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"722
062","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Course Total
Clinicl Anatomy & Radiology","45","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"723
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"723
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
Indep Adv Anatomy Dissection","3","***","","","","","","","","","","","","","","","",""
"Overview of Rural Health
740
002","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Food, Fasting & Fitness
772
001","171","",".",".",".",".",".",".",".","97.7","1.8",".",".",".",".",".",".","0.6"
"Human Family Tree
773
001","172","",".",".",".",".",".",".",".","97.1","1.2",".",".",".",".",".",".","1.7"
"Care Across the Life Cycle
810
021","44","",".",".",".",".",".",".",".","97.7",".",".",".",".",".",".",".","2.3"
"Chronic and Preventive Care
811
021","43","",".",".",".",".",".",".",".","83.7","2.3",".",".",".",".",".",".","14.0"
"Acute Care
812
021","46","",".",".",".",".",".",".",".","95.7",".",".",".",".",".",".",".","4.3"
"Surgical and Procedural Care
813
021","43","",".",".",".",".",".",".",".","90.7","2.3",".",".",".","2.3",".",".","4.7"
"902
041","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
042","27","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
043","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
044","25","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
045","26","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Course Total
Ambulatory Acting Internship","101","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"WARM Internship Prep Elective
913
006","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"918
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"918
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"918
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"918
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Course Total
IRR Medical Sciences","4","***","","","","","","","","","","","","","","","",""
"American Indian Health
930
101","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
