"BIOSTATISTICS & MED INFORM Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","",""
"Intro to Clinical Trials I
542","003","","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Regression Methods-Pop Health
552","001","","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data-Driven Healthcare
573","001","","19","3.765","68.4","10.5","5.3",".","5.3",".",".","10.5",".",".",".",".",".",".",".","."
"Statistcl Mthds-Epidemiolgy
642","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","3.980","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethics for Data Scientists
738","001","","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survival Analysis Thry & Mthds
741","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"826","014","","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"826","047","","15","3.808","73.3","6.7",".",".","6.7",".",".","6.7",".",".",".",".",".","6.7",".","."
"Biostats & Biomed Informatics","Course Total","","26","3.813","73.1","11.5","3.8",".","3.8",".",".","3.8",".",".",".",".",".","3.8",".","."
"Biomed DataSci Scholarly Lit 2
882","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biomed Data Sci Prof Skills 2
884","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"899","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-dissertator Research","Course Total","","28","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"Computn&Informatcs in Biol&Med
915","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
