"PHARMACY","Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"726
PHARMACY","","","","","","","","","","","","","","","","","","","","","","","",""
"Exploring Pharmacy II","126
001","34","4.000","100.0",".",".",".",".",".","",".",".",".","",".",".","",".","","",".",".",".","."
"Pharmacy Exploration Seminar","225
001","41","4.000","100.0",".",".",".",".",".","",".",".",".","",".",".","",".","","",".",".",".","."
"Pharm Genetics and Immunology","434
001","102","3.696","67.6","14.7","7.8","8.8","1.0",".","",".",".",".","",".",".","",".","","",".",".",".","."
"","490
001","10","4.000","100.0",".",".",".",".",".","",".",".",".","",".",".","",".","","",".",".",".","."
"","490
002","4","***","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Selected Topics in Pharmacy","Course Total","14","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Psychedelic History","564
001","15","3.933","86.7","13.3",".",".",".",".","",".",".",".","",".",".","",".","","",".",".",".","."
"Pharmacokinetics","621
001","101","3.347","38.6","23.8","17.8","9.9","8.9","1.0","",".",".",".","",".",".","",".","","",".",".",".","."
"","640
001","45","3.978","95.6","4.4",".",".",".",".","",".",".",".","",".",".","",".","","",".",".",".","."
"","640
002","72","3.840","83.3","8.3","2.8","4.2","1.4",".","",".",".",".","",".",".","",".","","",".",".",".","."
"Appropriate Use of Abused Drug","Course Total","117","3.893","88.0","6.8","1.7","2.6","0.9",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Psychedelics Science Society","671
001","78","3.953","88.5","6.4","1.3",".",".",".","",".",".",".","",".",".","",".","","",".",".","3.8","."
"CNS Drug Principles II","771
001","37","3.944","86.5","10.8",".",".",".",".","",".","2.7",".","",".",".","",".","","",".",".",".","."
"","800
001","9","4.000","100.0",".",".",".",".",".","",".",".",".","",".",".","",".","","",".",".",".","."
"","800
002","10","4.000","100.0",".",".",".",".",".","",".",".",".","",".",".","",".","","",".",".",".","."
"Research Ethics","Course Total","19","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"726
PHARMACY","Dept. Total","558","3.748","77.6","10.4","5.2","3.9","2.0","0.2","",".","0.2","",".",".","",".","",".","",".",".","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"726
PHARMACY","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","13","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","44","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","16","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","8","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","81","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","61","3.922","86.9","4.9","1.6",".","1.6",".","",".",".","",".",".","",".","",".","",".",".","4.9","."
"Graduate","","159","3.915","87.4","8.8","1.3","1.9",".",".","",".","0.6","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","202","3.490","53.5","19.3","12.9","8.9","5.0","0.5","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","18","3.917","94.4",".",".","5.6",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","37","3.972","94.6","5.4",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","257","3.571","62.3","16.0","10.1","7.4","3.9","0.4","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","558","3.748","77.6","10.4","5.2","3.9","2.0","0.2","",".","0.2","",".",".","",".","",".","",".",".","0.5","."
