"SOCIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Juvenile Delinquency","446","001","","37","3.203","35.1","18.9","27.0","5.4","8.1","2.7","2.7",".",".",".",".",".",".",".",".","."
"","475","002","","30","3.100","13.3","33.3","23.3","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","475","004","","10","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","","40","3.275","30.0","25.0","22.5","15.0","7.5",".",".",".",".",".",".",".",".",".",".","."
"","496","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","496","005","","17","3.321","35.3","29.4","5.9",".","5.9",".","5.9","17.6",".",".",".",".",".",".",".","."
"","496","008","","11","3.167","18.2","18.2","27.3","9.1","9.1",".",".",".",".",".",".",".","18.2",".",".","."
"","496","009","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","","Course Total","","45","3.452","53.3","17.8","8.9","2.2","4.4",".","2.2","6.7",".",".",".",".","4.4",".",".","."
"Soc-Int'l Dev, Envir&Sustain","540","001","","16","3.733","62.5","18.8","6.3","6.3",".",".",".",".",".",".",".",".","6.3",".",".","."
"Political Sociology","624","001","","16","3.267","43.8","6.3","12.5","18.8","12.5",".",".",".",".",".",".",".",".",".","6.3","."
"Sociology of the Family","640","001","","21","3.667","61.9","14.3","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Law","641","001","","16","3.933","87.5",".","6.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Sociology of Education","648","001","","20","3.947","85.0","10.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Demographic Techniques I","674","001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Pract-Analysis & Research","693","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Intmed Soc Psych-Indiv&Scty","730","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual Research Methods-Sociol","754","002","","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Intermediate Classical Theory","773","001","","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","003","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","004","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociological Perspectvs-Gender","904","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr:Topics in Economic Soc","919","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Political Sociology","924","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc-Econ Chng-Underdev Area","925","001","","8","3.563","12.5","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research: Economic Sociology","983","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch:Sociol of Gender Trainees","984","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch:Comm & Environmental Soc","985","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch: Race & Ethnic Studies","987","001","","10","3.912","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 21, 2023","","","","","","","","","","","","","","","","","","","","Page 344 of 476",""
