"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120","001","92","3.527","41.3","29.3","23.9","4.3","1.1",".",".",".",".",".",".",".",".",".",".","."
"Amer Soc: How It Really Works","125","003","54","3.224","20.4","33.3","22.2","7.4","3.7","1.9","1.9","9.3",".",".",".",".",".",".",".","."
"","131","001","44","3.463","31.8","38.6","11.4","4.5","2.3","2.3",".",".",".",".",".",".",".",".","9.1","."
"","131","002","75","3.153","32.0","22.7","17.3","9.3","9.3","1.3","4.0",".",".",".",".",".",".",".","4.0","."
"Criminal Justice in America","","Course Total","119","3.263","31.9","28.6","15.1","7.6","6.7","1.7","2.5",".",".",".",".",".",".",".","5.9","."
"","134","001","190","3.439","32.1","42.1","14.2","6.8","3.7","1.1",".",".",".",".",".",".",".",".",".","."
"","134","002","198","3.641","61.6","16.7","10.6","6.6","2.5","0.5",".",".",".",".",".",".","1.0",".","0.5","."
"","134","003","183","3.746","69.9","15.8","9.3","3.3","1.6",".",".",".",".",".",".",".",".",".",".","."
"","134","004","194","3.557","52.6","26.3","12.9","3.1","2.6",".","2.1",".",".",".",".",".","0.5",".",".","."
"","134","005","142","2.930","18.3","23.9","17.6","21.1","13.4","3.5","2.1",".",".",".",".",".",".",".",".","."
"Soc of Race & Ethnicity in US","","Course Total","907","3.490","48.4","25.0","12.7","7.5","4.3","0.9","0.8",".",".",".",".",".","0.3",".","0.1","."
"The Sociology of Gender","138","001","97","3.682","59.8","23.7","8.2","6.2","1.0",".",".","1.0",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","140","001","57","3.798","77.2","10.5","8.8","1.8","1.8",".",".",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160","001","120","3.282","40.0","33.3","10.0","2.5","5.0","2.5","5.8",".",".",".",".",".",".","0.8",".","."
"Population Problems","170","001","98","3.660","55.1","28.6","6.1","4.1","1.0",".","1.0","4.1",".",".",".",".",".",".",".","."
"Hnrs Smr:Sociolgl Enterprse","181","001","20","3.725","80.0","10.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"Intro to LGBTQ+ Studies","200","001","38","3.389","52.6","13.2","13.2","2.6","7.9","2.6","2.6","2.6",".",".",".",".",".","2.6",".","."
"Intercultural Dialogues","205","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey of Sociology","210","001","77","3.608","59.7","19.5","5.2","6.5","3.9",".","1.3","1.3",".",".",".",".","1.3","1.3",".","."
"The Sociological Enterprise","211","001","45","3.670","55.6","26.7","11.1","2.2","2.2",".",".","2.2",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220","001","64","3.359","42.2","35.9","9.4","1.6","3.1","3.1","4.7",".",".",".",".",".",".",".",".","."
"Food, Culture, and Society","222","001","56","3.545","46.4","33.9","10.7","1.8","3.6",".","1.8",".",".",".",".",".",".","1.8",".","."
"Latin America-Introduction","260","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","037","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","081","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Practicum","","Course Total","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Survey Methods Soc Res","351","001","24","3.674","54.2","33.3",".","4.2","4.2",".",".","4.2",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","357","001","70","3.693","61.4","20.0","15.7","1.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","360","001","72","3.507","37.5","29.2","19.4","4.2","2.8",".",".",".",".",".",".",".","5.6","1.4",".","."
"Stats for Sociologists III","362","001","25","3.500","36.0","44.0","12.0",".","8.0",".",".",".",".",".",".",".",".",".",".","."
"Data Mgt for Soc Sci Research","365","001","17","3.719","70.6","17.6",".",".",".","5.9",".",".",".",".",".",".",".","5.9",".","."
"Modern Jewish Thought","423","001","7","3.875","42.9","14.3",".",".",".",".",".","28.6",".",".",".",".",".",".","14.3","."
"Crime, Gender and Justice","425","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Criminology","441","001","96","2.776","20.8","12.5","31.3","9.4","13.5","6.3","6.3",".",".",".",".",".",".",".",".","."
"Immigration, Crime, Enforcemnt","443","001","20","3.650","70.0","20.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Social Psych: A Sociol Persp","444","001","47","3.489","40.4","34.0","6.4","8.5","6.4",".",".","4.3",".",".",".",".",".",".",".","."
