"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","25","3.140","28.0","28.0","8.0","24.0","8.0","4.0",".",".",".",".",".",".",".",".",".","."
"Hip-Hop and Cont Am Society","154","001","183","3.939","90.2","6.0","0.5","0.5",".","0.5",".","1.1",".",".",".",".","1.1",".",".","."
"Black Music&Am Cultrl Hist","156","001","275","3.900","80.4","8.0","4.0","0.4","0.4",".",".","5.1",".",".",".",".","1.8",".",".","."
"Intro-Black Women Writers","222","001","18","3.139","22.2","50.0","16.7",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Masterpieces of Afro Amer Lit","227","001","85","3.795","71.8","12.9","11.8","1.2",".",".",".",".",".",".",".",".","1.2","1.2",".","."
"Intro to Afro-Am History","231","001","81","3.700","64.2","11.1","22.2","1.2",".",".",".",".",".",".",".",".","1.2",".",".","."
"Intro to Afro-American Art","242","001","26","3.854","69.2","19.2","3.8",".",".",".",".","3.8",".",".",".",".","3.8",".",".","."
"African-American Autobiography","265","001","22","3.705","59.1","22.7","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271","001","27","3.960","85.2","7.4",".",".",".",".",".",".",".",".",".",".","7.4",".",".","."
"","271","002","29","3.037","31.0","24.1","13.8","3.4","3.4","17.2",".",".",".",".",".",".","6.9",".",".","."
"Topics in African Amer Culture","","Course Total","56","3.481","57.1","16.1","7.1","1.8","1.8","8.9",".",".",".",".",".",".","7.1",".",".","."
"Race&Am Pol:New Deal-New Right","272","001","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sci, Med, & Race: A History","275","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race&Gendr-Post-WW II  US Soc","326","001","10","3.350","40.0",".","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Black Feminisms","333","001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Black Arts Movement","338","001","30","3.889","73.3","13.3","3.3",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Afr Am Women's Activism 19-20C","624","001","9","3.750","55.6",".",".","11.1",".",".",".","11.1",".",".",".",".","22.2",".",".","."
"Hist-Civ Rghts Movmnt in US","628","001","16","3.042","12.5","31.3","18.8",".","6.3",".","6.3","12.5",".",".",".",".",".",".","12.5","."
"","671","001","10","4.000","60.0",".",".",".",".",".",".","30.0",".",".",".",".","10.0",".",".","."
"","671","002","16","3.233","12.5","31.3","43.8",".","6.3",".",".",".",".",".",".",".","6.3",".",".","."
"Topics in Afro-Am History","","Course Total","26","3.452","30.8","19.2","26.9",".","3.8",".",".","11.5",".",".",".",".","7.7",".",".","."
"Perspctv-Black Women Writng","677","001","16","3.313","25.0","31.3","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"","790","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","062","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","063","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","064","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","5","***","","","","","","","","","","","","","","","",""
