"KINESIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"Princpls-Exercise Leadershp","390","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","027","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org & Admin of Phy Ed","412","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Athl Healthcare Contemp Persp","487","001","","49","3.980","95.9","4.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory Health Programs","501","001","","28","3.911","92.9",".","3.6","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Activity & Health","521","001","","20","4.000","95.0",".",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"Nutrition, Fitness and Health","525","001","","20","3.375","30.0","30.0","30.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Prin. Strength & Conditioning","527","001","","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Skills for Health","547","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sports Sci & Athlete Monitor","555","001","","20","3.825","65.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Promoting Community Health","566","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg-Health Education","568","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Exercise Psychology","600","001","","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Practicm in Athl Train II","621","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found Prof Pract in Athl Train","650","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pub Hlth, Policy, and Pract","651","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eval and Therapeutic Interv I","652","001","","12","3.591","33.3","41.7","16.7",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Clinical Med Athl Training I","654","001","","12","3.727","50.0","33.3","8.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Enhance Performance & Wellness","670","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internship in Kinesiology","690","001","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","036","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","","Course Total","","23","4.000","95.7",".",".",".",".",".",".",".",".",".",".",".",".",".","4.3","."
