"","GENDER AND WOMENS STUDIE Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","","",""
"Gender Community Seminar","100","001","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Gender, Women & Society-Global","102","001","232","3.749","81.5","7.3","4.7","1.3","2.2",".","2.6",".",".",".",".",".","0.4",".",".","."
"","103","001","394","3.936","90.1","6.6","1.0","1.0","0.3",".",".",".",".",".",".",".","1.0",".",".","."
"","103","002","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Gender Women Bodies and","","Course Total","419","3.939","90.2","6.2","1.0","1.0","0.2",".",".",".",".",".",".",".","1.2","0.2",".","."
"Women's Writing","144","001","8","3.250","50.0","12.5",".","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"Intro to LGBTQ+ Studies","200","001","127","3.512","70.9","11.0","4.7","3.1","2.4","2.4","5.5",".",".",".",".",".",".",".",".","."
"Women in Russn Lit in Trans","205","001","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"German Women Writers-Tran","270","001","13","3.769","92.3",".",".",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Women, Gender and Religion","305","001","37","3.561","40.5","29.7","10.8","5.4","2.7",".",".",".",".",".",".",".","8.1",".",".","2.7"
"Race&Gendr-Post-WW II  US Soc","326","001","9","3.500","55.6","11.1","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Gend/Class/Race/Ethn-SocSci","331","001","38","3.711","78.9","7.9","2.6","7.9",".",".","2.6",".",".",".",".",".",".",".",".","."
"Black Feminisms","333","001","23","3.841","69.6","21.7","4.3",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"","340","001","42","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","340","002","40","3.865","72.5","15.0","5.0",".",".",".",".",".",".",".",".",".","7.5",".",".","."
"Topics in LGBTQ Sexuality","","Course Total","82","3.934","82.9","7.3","2.4",".",".",".",".",".",".",".",".",".","7.3",".",".","."
"Queer Bodies","343","001","31","3.833","74.2","16.1","3.2","3.2",".",".",".",".",".",".",".",".","3.2",".",".","."
"","350","001","31","3.967","90.3","6.5",".",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"","350","002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Gender & Literature","","Course Total","47","3.978","93.6","4.3",".",".",".",".",".","2.1",".",".",".",".",".",".",".","."
"Women in the Classical World","351","001","31","3.726","64.5","22.6","6.5","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Gender & Disability","370","001","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Disability, Gender & Sexuality","374","001","39","3.846","71.8","25.6","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race, Sex, and Texts","401","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women:Cross-Soc Perspective","420","001","36","3.438","19.4","38.9","30.6",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"The Female Body in the World","423","001","37","3.743","67.6","29.7",".",".",".",".","2.7",".",".",".",".",".",".",".",".","."
"Crime, Gender and Justice","425","001","12","3.250","25.0","50.0",".","16.7",".","8.3",".",".",".",".",".",".",".",".",".","."
"Sexual Politics in Scandinavia","438","001","9","3.111","77.8",".",".",".",".",".","22.2",".",".",".",".",".",".",".",".","."
"","449","001","20","3.842","85.0",".","5.0",".","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"","449","002","31","3.683","71.0","9.7","6.5",".","9.7",".",".",".",".",".",".",".","3.2",".",".","."
"Topics in Feminist Theory","","Course Total","51","3.745","76.5","5.9","5.9",".","7.8",".",".","2.0",".",".",".",".","2.0",".",".","."
"Women and Politics","469","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Feminist Geography Theory","504","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Psychology of Women and Gender","522","001","7","3.167","28.6","28.6","14.3",".",".","14.3",".","14.3",".",".",".",".",".",".",".","."
"Biology and Gender","530","001","31","3.871","90.3","3.2",".","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"Gender Sexuality Reproduction","534","001","38","3.855","81.6","13.2","2.6",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Women's Global Health","535","001","36","3.735","69.4","16.7","5.6",".",".",".","2.8",".",".",".",".",".","5.6",".",".","."
"Topics in LGBTQ+ Health","538","001","26","3.940","84.6","11.5",".",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","Page 358 of 464",""
