"PATHOLOGY AND LABORATORY Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"210
HIV: Sex, Society and Science","001","","48","3.438","58.3","8.3","22.9",".","4.2","4.2","2.1",".",".",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","100","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","10","4.000","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","40.0","."
"802
Histopath for Scientists","001","","7","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"803
Pathogensis-Major Hum Diseases","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901","001","","41","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"901","002","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Student Seminar / Journal Club","Course Total","","51","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"920","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Pathology Clerkship","Course Total","","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"921","001","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"921","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"921","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"921","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"921","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"921","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"921","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","009","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"921","010","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"921","011","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"921","012","","15","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Transfusion Med Customized","Course Total","","78","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"926","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
