"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"501
Radiographic Anat-Dog&Cat","001","","95","3.984","97.9","1.1","1.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"548
Diseases of Wildlife","001","","8","3.250","62.5",".","25.0",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"630
Small Animal Surgery","001","","98","3.372","27.6","28.6","37.8","3.1","3.1",".",".",".",".",".",".",".",".",".",".","."
"632
Small Animal Surgery Lab","001","","98","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"634
Small Animal Anesthesia Lab","001","","98","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"638
Veterinary Diagnostic Imaging","001","","98","3.974","95.9","1.0","2.0",".",".",".",".",".",".",".",".",".","1.0",".",".","."
"642","001","","32","4.000","9.4",".",".",".",".",".",".","90.6",".",".",".",".",".",".",".","."
"642","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","Course Total","","33","4.000","9.1",".",".",".",".",".",".","90.9",".",".",".",".",".",".",".","."
"644
Small Orthopedic Surgery","001","","17","4.000","23.5",".",".",".",".",".",".","76.5",".",".",".",".",".",".",".","."
"645","001","","31","4.000","22.6",".",".",".",".",".",".","64.5",".",".",".",".",".",".","12.9","."
"645","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","34","4.000","23.5",".",".",".",".",".",".","64.7",".",".",".",".",".",".","11.8","."
"646
Veterinary Anesthesiology","001","","34","4.000","35.3",".",".",".",".",".",".","64.7",".",".",".",".",".",".",".","."
"647
Radiology Clinics","001","","33","4.000","57.6",".",".",".",".",".",".","39.4",".",".",".",".","3.0",".",".","."
"675","001","","10","4.000","60.0",".",".",".",".",".",".","20.0",".",".",".",".",".",".","20.0","."
"675","003","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","004","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"675","006","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"675","008","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"675","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"675","023","","47","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","116","3.926","56.9",".",".",".",".","0.9",".","39.7",".",".",".",".",".",".","2.6","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","127","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","136","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","148","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"741
Clinical Ophthalm Rotation","001","","23","4.000","69.6",".",".",".",".",".",".","30.4",".",".",".",".",".",".",".","."
"743
Adv Anesthlgy/Crit Care Med","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"748
Dentistry & Oral Surg Rotation","001","","16","4.000","93.8",".",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"750
Sm Animal Ultrasound Elective","001","","25","4.000","84.0",".",".",".",".",".",".","16.0",".",".",".",".",".",".",".","."
"775","001","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","26","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
