"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"699","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","068","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"712
Found. Infant Mental Health","001","","35","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"713
Reflective Practices IMH I","001","","35","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"714
ACP Consultation I","001","","13","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"901
Sports Psych Athlete Mtl Hlth","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"902
Science Sleep Consciousness","002","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"910","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Psych Ind Reading and Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"919","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Psychiatry Individual Clinical","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"922","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Psychiatry Consultation Liason","Course Total","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"925","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Psych Elective","Course Total","","5","***","","","","","","","","","","","","","","","",""
"930","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 05, 2022","","","","","","","","","","","","","","","","","","","Page 424 of 464",""
