"GENDER AND WOMENS STUDIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","","",""
"539
Topics in Gender and Health","001","","40","4.000","97.5",".",".",".",".",".",".",".",".",".",".",".","2.5",".",".","."
"624
Afr Am Women's Activism 19-20C","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"640
Capstone Smr in Gender & Wm St","001","","17","4.000","88.2",".",".",".",".",".",".",".",".",".",".",".","11.8",".",".","."
"677
Perspctv-Black Women Writng","001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis I","Course Total","","3","***","","","","","","","","","","","","","","","",""
"691
Senior Thesis I","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"720
Spec Topics-Gender&Wmn Studies","002","","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"737
Feminist Theory & Criticism","001","","12","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"790
Research & Thesis","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"880
Grad Study-Gen & Women's Study","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"933
Feminist Political Theory","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999
Independent Research","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
