"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"","741
172","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","741
270","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","741
272","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","40","3.988","97.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","742
004","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","742
005","15","3.962","80.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","13.3","."
"Health-system Pharm Clerkship","Course Total","38","3.986","92.1","2.6",".",".",".",".",".",".",".",".",".",".",".",".","5.3","."
"","743
004","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
005","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Pharmarcy Practice","Course Total","35","3.986","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","746
001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","746
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","Course Total","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
004","51","3.882","90.2",".","7.8",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","760
005","48","3.957","91.7","4.2","2.1",".",".",".",".",".",".",".",".",".","2.1",".",".","."
"","760
115","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
125","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
170","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
189","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
215","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
225","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elective Pharm Pract Clkshp","Course Total","105","3.918","90.5","2.9","4.8",".","1.0",".",".",".",".",".",".",".","1.0",".",".","."
"Grad Sem Hlth-System Pharmacy","961
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","999
028","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
