"MED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CELL AND REGENERATIVE BIOL Section","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"217
CRB","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRB
Dept. Total
217","246","3.747","51.6","33.7","6.1","",".","",".","",".","",".","5.7","",".",".","",".","",".","",".",".","2.8","."
"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"217
CRB","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","9","4.000","88.9",".",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","11.1","."
"Senior","25","3.964","84.0","4.0",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","12.0","."
"Undergraduates","36","3.976","86.1","2.8",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","11.1","."
"Special","1","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","209","3.714","45.9","39.2","7.2","",".","",".","",".","",".","6.2","",".",".","",".","",".","",".",".","1.4","."
"Dept. Total","246","3.747","51.6","33.7","6.1","",".","",".","",".","",".","5.7","",".",".","",".","",".","",".",".","2.8","."
