"","919
005","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","919
007","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","919
042","","1","***","","","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Neurol Indiv Clin Elective","Course Total","","3","***","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEUROL
676","Dept. Total","","33","4.000","78.8","",".","",".","",".","",".","",".","",".","9.1","",".",".","",".","",".","3.0",".","9.1","."
"Summary by Level","","#","","Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","***","","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Sophomore","","","2","***","","","","","","","","","","","","","","","","",".","",".","",".",".",".","50.0","."
"Junior","","","9","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","","18","4.000","83.3","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","5.6",".","11.1","."
"Undergraduates","","","30","4.000","86.7","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","3.3",".","10.0","."
"Prof Yr 4","","","3","***","","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","","3","***","","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","","33","4.000","78.8","",".","",".","",".","",".","",".","",".","9.1","",".",".","",".","",".","3.0",".","9.1","."
