"COLLABORATIVE NURSING PRG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","",""
"306
Transitions: Pract & Prof","001","","13","3.077","23.1","23.1","38.5","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"317
Health Assessment","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"407","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"407","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Foundations Prof Nursing Pract","Course Total","","6","3.417","50.0",".","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"441","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"441","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"441","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Chronic Care Management","Course Total","","11","3.455","9.1","72.7","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"446","001","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"446","003","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nrsg Research & EB Practice","Course Total","","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"447","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"447","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"447","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Leadership and Management","Course Total","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"453","002","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"453","003","","13","3.458","61.5","7.7","15.4",".",".",".","7.7",".",".",".",".",".","7.7",".",".","."
"Info Mgt & Hlthcare Tech","Course Total","","20","3.632","70.0","10.0","10.0",".",".",".","5.0",".",".",".",".",".","5.0",".",".","."
"454","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"454","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"454","003","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","Course Total","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"490","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"490","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"490","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"490","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Nursing","Course Total","","7","3.500","57.1","14.3",".","28.6",".",".",".",".",".",".",".",".",".",".",".","."
"519
Capstone Practicum for RNs","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
