"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"699","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","169","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","190","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","199","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","204","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","206","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","214","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","216","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","218","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","230","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","231","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","241","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","242","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","245","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","249","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","262","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","265","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","268","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","269","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","101","3.991","90.1","2.0",".",".",".",".",".",".",".",".",".",".",".",".","7.9","."
"710
Improv for Scientists","003","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"902
Clin Transl Research Elective","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"903
MSTP Longitudinal Clerkship","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
