"TERM : 1222","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2021-2022","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHARMACOLOGY","","Section
#","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"724","PHMCOL-M","","","","","","","","","","","","","","","","","","","","","","","","","",""
"724","PHMCOL-M","82
Dept. Total","3.944","54.9","3.7","",".","",".","",".","",".","",".","34.1","",".",".","",".","2.4","",".",".","4.9","."
"Summary by Level","","#","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"724","PHMCOL-M","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Senior","3","***","","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
