"LAFOLLETTE SCHOOL PUB AFF Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","",""
"Contemp Public Policy Issues","200
001","","143","3.615","46.2","38.5","11.2","3.5",".",".","0.7",".",".",".",".",".",".",".",".","."
"Intro to Health Policy in U.S.","201
001","","48","3.479","27.1","47.9","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","240
001","","29","3.345","20.7","41.4","27.6","6.9","3.4",".",".",".",".",".",".",".",".",".",".","."
"","240
002","","26","3.560","26.9","53.8","15.4",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"Evidence-Based Policy Making","Course Total","","55","3.444","23.6","47.3","21.8","3.6","1.8",".",".",".",".",".",".",".","1.8",".",".","."
"Topics in Public Policy","274
002","","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Leadership","278
001","","29","3.328","37.9","24.1","24.1","6.9","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"What Works in Health Policy","281
001","","27","3.923","88.9",".","7.4",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"Directed Study","299
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","380
001","","25","3.540","36.0","44.0","16.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","380
002","","25","3.620","76.0","4.0","8.0","8.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"Tools for Public Policy","Course Total","","50","3.580","56.0","24.0","12.0","4.0","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"Administrative Law","419
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Inequality, Race & Publ Policy","520
001","","22","3.619","40.9","40.9","9.1","4.5",".",".",".",".",".",".",".",".","4.5",".",".","."
"Economics of Health Care","548
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","799
031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pub Affr Prof Devlpmnt Workshp","800
001","","51","",".",".",".",".",".",".",".",".",".","96.1",".",".",".",".",".","."
"Intro-Energy Analysis & Policy","809
001","","16","3.656","43.8","43.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Stat Meths-Pub Pol Anal","818
001","","51","3.520","45.1","29.4","13.7","7.8","3.9",".",".",".",".",".",".",".",".",".",".","."
"Administrative Internship","827
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"International Governance","850
001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Program Evaluation","871
001","","19","3.895","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Policy-Making Process","874
001","","45","3.467","40.0","31.1","15.6","8.9","4.4",".",".",".",".",".",".",".",".",".",".","."
"Microecon Policy Analysis","880
001","","53","3.894","81.1","13.2","3.8",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"","881
001","","13","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
881","","12","3.818","66.7","16.7","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Benefit-Cost Analysis","Course Total","","25","3.688","52.0","28.0","16.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"","974
001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","974
003","","10","3.650","70.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","974
004","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Public Affairs","Course Total","","46","3.924","93.5","2.2","2.2",".","2.2",".",".",".",".",".",".",".",".",".",".","."
