"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120","001","285","2.916","16.1","24.6","24.9","12.6","8.1","7.4","2.5",".",".",".",".",".","3.9",".",".","."
"","125","001","16","3.500","50.0","25.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","125","002","158","2.794","12.7","21.5","23.4","19.0","10.1","10.1","1.3","1.9",".",".",".",".",".",".",".","."
"Amer Soc: How It Really Works","","Course Total","174","2.844","16.1","21.8","22.4","17.2","10.3","9.2","1.1","1.7",".",".",".",".",".",".",".","."
"Criminal Justice in America","131","001","141","3.047","12.8","24.1","40.4","10.6","6.4","2.1","1.4",".",".",".",".",".","1.4",".","0.7","."
"","134","001","354","3.402","35.0","32.2","16.9","9.9","4.8","0.3","0.3",".",".",".",".",".",".","0.3","0.3","."
"","134","002","77","3.643","75.3","13.0","3.9","1.3",".","2.6","3.9",".",".",".",".",".",".",".",".","."
"","134","003","87","3.707","72.4","18.4","2.3","1.1","2.3","2.3","1.1",".",".",".",".",".",".",".",".","."
"Soc of Race & Ethnicity in US","","Course Total","518","3.489","47.3","27.0","12.5","7.1","3.7","1.0","1.0",".",".",".",".",".",".","0.2","0.2","."
"The Sociology of Gender","138","002","99","3.643","68.7","13.1","6.1","7.1","2.0",".","2.0",".",".",".",".",".",".",".",".","1.0"
"Intro-Community & Envir Soc","140","001","57","3.527","54.4","29.8","5.3","3.5",".",".","5.3","1.8",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160","001","30","3.033","46.7","20.0","3.3","6.7","3.3","13.3","6.7",".",".",".",".",".",".",".",".","."
"Population Problems","170","001","462","3.371","34.4","34.6","13.6","11.0","3.0","2.2","0.6","0.4",".",".",".",".",".",".",".","."
"Hnrs Smr:Sociolgl Enterprse","181","001","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to LGBTQ+ Studies","200","001","47","3.500","74.5","8.5","2.1","2.1","4.3","2.1","6.4",".",".",".",".",".",".",".",".","."
"Intercultural Dialogues","205","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Leadership in ICD","206","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey of Sociology","210","001","69","3.828","81.2","10.1","2.9",".","1.4",".","1.4",".",".",".",".",".","2.9",".",".","."
"The Sociological Enterprise","211","002","45","3.756","86.7","6.7",".","2.2",".",".","4.4",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220","001","66","3.273","33.3","34.8","13.6","7.6","4.5","3.0","3.0",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","248","001","21","3.857","76.2","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","15","3.633","40.0","53.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","320","037","22","3.773","81.8","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","320","039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","137","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","151","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","181","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","249","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","281","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Practicum","","Course Total","31","3.819","87.1","6.5",".",".","6.5",".",".",".",".",".",".",".",".",".",".","."
"Issues in Food Systems","340","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Labor in Global Food Systems","341","001","17","3.714","52.9","17.6","5.9","5.9",".",".",".",".",".",".",".",".","5.9",".","11.8","."
"Meth-Sociological Inquiry","357","001","73","3.815","75.3","16.4","4.1","4.1",".",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","360","001","58","3.630","60.3","3.4","22.4","6.9",".",".",".",".",".",".",".",".","6.9",".",".","."
"Stats for Sociologists II","361","001","30","3.328","26.7","23.3","40.0",".","6.7",".",".","3.3",".",".",".",".",".",".",".","."
"Processes-Deviant Behavior","421","001","24","2.833","25.0","29.2","12.5","4.2","8.3","16.7","4.2",".",".",".",".",".",".",".",".","."
"Social Issues in Aging","422","001","17","3.357","29.4","29.4","11.8","5.9",".","5.9",".",".",".",".",".",".",".",".","17.6","."
