"PHARMACY PRACTICE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"","305","001","27","3.192","25.9","25.9","14.8","18.5","11.1",".",".",".",".",".",".",".","3.7",".",".","."
"","305","002","53","2.991","28.3","20.8","13.2","18.9","11.3","3.8","3.8",".",".",".",".",".",".",".",".","."
"Cnsmr","","Course Total","80","3.057","27.5","22.5","13.8","18.8","11.3","2.5","2.5",".",".",".",".",".","1.3",".",".","."
"Pathways in Pharmacy Practice","461","001","138","3.978","97.8","0.7","0.7","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Develop & Engagement II","463","001","98","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Phm Prac Experiences II","526","001","99","3.848","87.9","7.1","2.0","1.0",".",".","2.0",".",".",".",".",".",".",".",".","."
"Fluid & Electrolyte Therapy","550","001","59","3.966","93.2","6.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Pharmacokinetics","551","001","99","3.217","28.3","25.3","17.2","22.2","6.1","1.0",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills I","553","001","98","3.704","51.0","40.8","7.1",".","1.0",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy I","555","001","98","3.036","12.2","29.6","25.5","18.4","14.3",".",".",".",".",".",".",".",".",".",".","."
"Antimicrobial Stewadship","560","001","25","3.660","40.0","52.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership Health-System Pharm","610","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Medical Imaging for Pharmacist","611","001","34","3.809","76.5","8.8","14.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practice Innovation I","628","001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonprescrip Prod & Self-Care","638","001","123","3.124","18.7","29.3","25.2","15.4","2.4","0.8","3.3",".",".",".",".",".",".",".",".","4.9"
"Comprehnsv Immunizatn Delivery","650","001","167","3.207","21.6","27.5","31.1","12.6","6.6",".","0.6",".",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills III","653","001","123","3.894","82.1","14.6","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy III","655","001","123","3.061","13.8","22.8","33.3","22.0","8.1",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Therapeutics","670","001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Academic Pharmacy I","671","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminars in Cardiology","677","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","018","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","053","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","057","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","067","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","072","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","085","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","090","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740","004","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740","005","25","3.860","80.0","16.0",".","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","","Course Total","39","3.859","79.5","15.4","2.6","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","741","004","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741","005","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741","170","2","***","","","","","","","","","",".",".",".",".",".",".","."
