"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","125
025","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
026","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
027","11","3.818","81.8","9.1",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","125
029","13","3.615","53.8","15.4","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
030","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
031","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
032","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
033","19","3.895","89.5","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","125
034","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
035","20","3.850","90.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","036
125","19","3.711","84.2","5.3","5.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Wisconsin Experience Seminar","Course Total","416","3.831","84.6","7.7","3.6","1.4","1.2",".","1.2",".",".",".",".",".",".",".","0.2","."
"Intersectionalities","225
001","226","3.783","78.3","11.1","3.1","4.4","0.4","1.8",".","0.4",".",".",".",".","0.4",".",".","."
"Mental Hlth &Diverse Community","237
001","184","3.915","93.5","2.7","1.1",".",".","0.5","1.1",".",".",".",".",".","1.1",".",".","."
"","300
001","19","4.000","89.5",".",".",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"","300
010","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics: Couns./Couns. Psych","Course Total","34","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Community-Engaged Scholarship","601
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
005","46","3.761","84.8","4.3","6.5",".",".","2.2","2.2",".",".",".",".",".",".",".",".","."
"Spec Topics-Cnslg & Guidnce","Course Total","54","3.796","87.0","3.7","5.6",".",".","1.9","1.9",".",".",".",".",".",".",".",".","."
"Clinical Communication Skills","655
001","117","3.829","85.5","4.3","6.0","0.9","2.6","0.9",".",".",".",".",".",".",".",".",".","."
"","699
028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
038","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
040","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
043","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Practicum Activities","700
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Qualitative Research","719
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Professional Counseling Orient","730
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fndtns Clin Mental Hlth Counsl","791
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theories of Counseling","800
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Helping Relations & Techniques","805
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supv Internship in Counseling","808
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Dev & Clinical Prac","810
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Csnlg Psych Tech-Families","825
001","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consult in Health Service Psy","850
001","7","4.000","71.4",".",".",".",".",".",".",".",".",".",".",".","28.6",".",".","."
"Social Cultural Counseling","860
001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cnsl Psy Practicum-Foundation","900
001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Couns Psych Practicum","901
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
