"TERM : 1222","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2021-2022","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"NUR","","","","","","","","","","","","","","","","","","","","","","","","",""
"","COLLABORATIVE NURSING PRG Section","#","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"691","CNP","","","","","","","","","","","","","","","","","","","","","","","",""
"691","CNP","103
Dept. Total","3.603","55.3","24.3","13.6","3.9","",".","",".","1.9","",".","",".",".","",".","",".","1.0",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"691","CNP","","","","","","","","","","","","","","","","","","","","","","","",""
"","Junior","18","3.639","50.0","27.8","22.2",".","",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
