"TERM : 1222","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2021-2022","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"NEUROSCIENCE","","Section
#","Ave","A","AB","B","BC","","C","D","F","","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"681","NEURODPT","","","","","","","","","","","","","","","","","","","","","","",""
"681","NEURODPT","64
Dept. Total","3.793","70.3","1.6","3.1","",".","1.6","1.6","",".","12.5","1.6",".","",".","",".","",".",".","7.8","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","D","F","","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"681","NEURODPT","","","","","","","","","","","","","","","","","","","","","","",""
"","Freshmen","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
